Sun Jul 26 11:02:58 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-PCIE-40GB          Off |   00000000:17:00.0 Off |                    0 |
| N/A   26C    P0             38W /  250W |     423MiB /  40960MiB |      2%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           10214      C   python                                  414MiB |
+-----------------------------------------------------------------------------------------+
CUDA available: True
Device count: 1
Device 0: NVIDIA A100-PCIE-40GB
Device Name: cuda
Loaded dataset: tokens (599, 36) | targets (599, 36, 3)
Loaded dataset: tokens (1399, 36) | targets (1399, 36, 3)
Epoch 0 | Train Loss: 0.6946 | Test Loss: 0.6940 | Train Acc: 0.1289 | Test Acc: 0.1339 | Train Bit Acc: 0.5039 | Test Bit Acc: 0.5033
Epoch 100 | Train Loss: 0.6486 | Test Loss: 0.6605 | Train Acc: 0.2207 | Test Acc: 0.1946 | Train Bit Acc: 0.6107 | Test Bit Acc: 0.5851
Epoch 200 | Train Loss: 0.5279 | Test Loss: 0.5529 | Train Acc: 0.3524 | Test Acc: 0.3242 | Train Bit Acc: 0.6887 | Test Bit Acc: 0.6618
Epoch 300 | Train Loss: 0.4310 | Test Loss: 0.4652 | Train Acc: 0.4962 | Test Acc: 0.4389 | Train Bit Acc: 0.7420 | Test Bit Acc: 0.6950
Epoch 400 | Train Loss: 0.4111 | Test Loss: 0.4495 | Train Acc: 0.5323 | Test Acc: 0.4673 | Train Bit Acc: 0.7489 | Test Bit Acc: 0.6947
Epoch 500 | Train Loss: 0.4066 | Test Loss: 0.4465 | Train Acc: 0.5371 | Test Acc: 0.4746 | Train Bit Acc: 0.7525 | Test Bit Acc: 0.6937
Epoch 600 | Train Loss: 0.4046 | Test Loss: 0.4471 | Train Acc: 0.5692 | Test Acc: 0.4759 | Train Bit Acc: 0.7553 | Test Bit Acc: 0.6925
Epoch 700 | Train Loss: 0.4033 | Test Loss: 0.4485 | Train Acc: 0.5824 | Test Acc: 0.4904 | Train Bit Acc: 0.7570 | Test Bit Acc: 0.6917
Epoch 800 | Train Loss: 0.4026 | Test Loss: 0.4511 | Train Acc: 0.5763 | Test Acc: 0.4919 | Train Bit Acc: 0.7577 | Test Bit Acc: 0.6913
Epoch 900 | Train Loss: 0.4017 | Test Loss: 0.4508 | Train Acc: 0.5833 | Test Acc: 0.4944 | Train Bit Acc: 0.7583 | Test Bit Acc: 0.6910
Epoch 1000 | Train Loss: 0.4011 | Test Loss: 0.4533 | Train Acc: 0.5841 | Test Acc: 0.4960 | Train Bit Acc: 0.7592 | Test Bit Acc: 0.6906
Epoch 1100 | Train Loss: 0.4006 | Test Loss: 0.4542 | Train Acc: 0.5902 | Test Acc: 0.4960 | Train Bit Acc: 0.7597 | Test Bit Acc: 0.6902
Epoch 1200 | Train Loss: 0.4003 | Test Loss: 0.4543 | Train Acc: 0.5792 | Test Acc: 0.4931 | Train Bit Acc: 0.7602 | Test Bit Acc: 0.6904
Epoch 1300 | Train Loss: 0.3998 | Test Loss: 0.4555 | Train Acc: 0.5893 | Test Acc: 0.4911 | Train Bit Acc: 0.7607 | Test Bit Acc: 0.6901
Epoch 1400 | Train Loss: 0.3995 | Test Loss: 0.4568 | Train Acc: 0.5926 | Test Acc: 0.4935 | Train Bit Acc: 0.7614 | Test Bit Acc: 0.6896
Epoch 1500 | Train Loss: 0.3991 | Test Loss: 0.4583 | Train Acc: 0.5945 | Test Acc: 0.5018 | Train Bit Acc: 0.7618 | Test Bit Acc: 0.6891
Epoch 1600 | Train Loss: 0.3991 | Test Loss: 0.4588 | Train Acc: 0.5909 | Test Acc: 0.5035 | Train Bit Acc: 0.7616 | Test Bit Acc: 0.6892
Epoch 1700 | Train Loss: 0.3986 | Test Loss: 0.4602 | Train Acc: 0.5964 | Test Acc: 0.5040 | Train Bit Acc: 0.7622 | Test Bit Acc: 0.6888
Epoch 1800 | Train Loss: 0.3984 | Test Loss: 0.4617 | Train Acc: 0.5950 | Test Acc: 0.4970 | Train Bit Acc: 0.7624 | Test Bit Acc: 0.6886
Epoch 1900 | Train Loss: 0.3981 | Test Loss: 0.4618 | Train Acc: 0.6051 | Test Acc: 0.4985 | Train Bit Acc: 0.7625 | Test Bit Acc: 0.6886
Epoch 2000 | Train Loss: 0.3979 | Test Loss: 0.4622 | Train Acc: 0.5985 | Test Acc: 0.4975 | Train Bit Acc: 0.7626 | Test Bit Acc: 0.6887
Epoch 2100 | Train Loss: 0.3978 | Test Loss: 0.4638 | Train Acc: 0.5965 | Test Acc: 0.4970 | Train Bit Acc: 0.7629 | Test Bit Acc: 0.6882
Epoch 2200 | Train Loss: 0.3976 | Test Loss: 0.4634 | Train Acc: 0.6058 | Test Acc: 0.5013 | Train Bit Acc: 0.7629 | Test Bit Acc: 0.6882
Epoch 2300 | Train Loss: 0.3975 | Test Loss: 0.4643 | Train Acc: 0.5982 | Test Acc: 0.5032 | Train Bit Acc: 0.7628 | Test Bit Acc: 0.6883
Epoch 2400 | Train Loss: 0.3975 | Test Loss: 0.4661 | Train Acc: 0.5922 | Test Acc: 0.4982 | Train Bit Acc: 0.7628 | Test Bit Acc: 0.6879
Epoch 2500 | Train Loss: 0.3972 | Test Loss: 0.4664 | Train Acc: 0.6005 | Test Acc: 0.4974 | Train Bit Acc: 0.7630 | Test Bit Acc: 0.6877
Epoch 2600 | Train Loss: 0.3970 | Test Loss: 0.4662 | Train Acc: 0.6110 | Test Acc: 0.4978 | Train Bit Acc: 0.7631 | Test Bit Acc: 0.6881
Epoch 2700 | Train Loss: 0.3969 | Test Loss: 0.4670 | Train Acc: 0.6075 | Test Acc: 0.5090 | Train Bit Acc: 0.7631 | Test Bit Acc: 0.6877
