Word (in Normal Form), Descents
bacabac,b
abacba,ab
a,a
ab,a
bcaba,bc
bacabacabac,b
acabac,ac
cbaca,bc
cabba,c
aca,ac
acaba,ac
abcabcb,ab
bac,b
bcb,bc
cab,c
cba,c
c,c
bcabcb,b
cbacbac,c
bc,b
bacbaca,ab
baccaba,ab
ba,b
acbac,a
bacc,b
aba,ab
abcaba,a
cabc,c
baca,b
bcab,b
b,b
abacab,ab
acabacabac,ac
cbac,c
abac,ab
cbacbacbaca,bc
bcabac,bc
bcabcab,b
abcabacab,a
abaca,ab
cabcaba,ac
ccb,bc
cabcabacaba,ac
bcabab,bc
acaca,ac
,
bcabacabacabacab,bc
ac,a
bacbac,b
abcab,a
bcabaca,bc
bcabacb,bc
acab,ac
cb,c
cabac,c
bacabacabaca,b
bcba,bc
cbaccba,c
baba,ab
abcabcba,ab
acbacabacaca,a
cabcab,c
bacaca,b
caba,c
bacabacb,b
acba,a
acbaca,a
cbacaca,bc
acabacabaca,ac
bacac,b
abacabacaba,ab
bacaba,b
cca,ac
abacabb,ab
abcbb,a
acb,a
abc,a
ababaca,ab
abcabacabacb,a
bacabacabacab,b
cabacab,c
abcabcabcaba,a
cbacabac,bc
ababac,ab
bacb,b
cbacabacabacacaba,bc
abcabacaba,a
acbacba,a
bcabcabacab,b
cbacca,c
cbacabaca,bc
abcb,a
baccb,ab
bcabacaba,bc
abcabca,a
bacbacbaca,b
cbacbaca,c
bcabacab,bc
ca,c
cbacac,bc
acabacab,ac
abacabac,ab
cabcb,ac
bacbacbacbac,b
bacab,b
bcacaba,b
cabcababacab,ac
bca,b
cbacaba,bc
acbacabacaba,a
acbacaca,a
bacabacab,b
bacbacb,b
cbabaca,c
acabacabacab,ac
abcabacb,a
accaba,a
abacb,ab
cababa,c
abcabcaba,ab
cbacab,bc
cabacaba,c
cabacabaca,c
acc,a
acbacab,a
bcabb,b
cabcabac,ac
accabacab,a
acbacbac,a
cbacba,c
abbacaba,a
bcabcba,b
bcabacabaca,bc
cbb,c
acabacba,ac
cbacbacabacacb,c
bcabcaba,b
bcabbaca,b
abcba,a
ababacabac,ab
acabacaba,ac
cabcabacab,ac
cabacabacabaca,c
cabca,c
abbaca,a
bcabc,b
acbb,a
bacbacacab,ab
bacbabacab,b
cabacb,c
abacabaca,ab
acbacbacabac,ac
cbaccb,c
cabaca,c
bacbacabab,ab
bacabb,b
bcabcabcabcabcaba,bc
