Word (in Normal Form), Descents
bc,b
cbacbaccba,bc
abacabacabacabb,ab
cbaca,bc
bacaba,b
acbac,a
acbbaba,ac
bacabacb,b
ca,c
abaca,ab
bcab,b
ac,a
abac,ab
acbacbac,a
accb,a
bcaba,bc
cb,c
acabaca,ac
bacbaca,ab
cabac,c
bcabcabcb,bc
bac,b
cabacabaca,c
aba,ab
,
cbacacba,bc
cbac,c
bcabac,bc
cabacaba,c
ab,a
caba,c
acab,ac
acbba,ac
cba,c
cabacabacaba,c
a,a
cabcb,ac
c,c
bacabacab,b
abacba,ab
cabaca,c
cbaccaba,c
cbacab,bc
baca,b
cab,c
acb,a
cabacabac,c
ba,b
cabab,c
abcab,a
bcabcabacabac,b
bacab,b
abcba,a
abacab,ab
cbacaba,bc
cbacbacbac,c
accab,a
bacbacabaca,ab
bbabaca,ab
cabcaba,ac
bcabc,b
bacacabacaba,b
b,b
abba,a
bb,b
abcaba,a
cabcab,c
aca,ac
acbacbacacab,ac
acbacb,a
bcb,bc
acbacabac,a
acbacbaca,ac
bcabcaba,b
cc,c
acaca,ac
baccaba,ab
cbba,c
acbaba,ac
cabacab,c
bcabacabacabacb,bc
abacabaca,ab
baccb,ab
bacb,b
abcabcab,a
acac,ac
bcabacabacaba,bc
bacbb,b
bcabcab,b
cabc,c
bcbba,bc
bcacaba,b
abacb,ab
cabbac,c
acbaccaba,ac
acbacabab,a
bcabacabacba,bc
cbacbac,c
cbacbacabaca,c
acaba,ac
bacbacacab,ab
abb,a
bacbac,b
abcabcaba,ab
cbb,c
bbba,b
acca,a
bacaca,b
cabcabac,ac
cbacbacbacabaca,bc
cbacabac,bc
cbaccb,c
abacabba,ab
bca,b
abcabac,a
bacbacbacabaca,b
abbacabb,a
bcabbacab,b
cbacb,c
bcba,bc
acbacababac,a
bbbacab,b
cabcabacaba,ac
cbacbacabac,c
abcabaca,a
bcbb,bc
bacabac,b
acbacabaca,a
bcabacbacaba,bc
acc,a
acbacabb,a
bcabacbbbbab,bc
acacb,ac
abc,a
abcabc,a
cabca,c
cababa,c
bcabacab,bc
accbb,a
abacabacab,ab
bacba,b
cbacbacbaca,bc
abcabacab,a
abcb,a
bacabaca,b
abcabacb,a
bacacabacabacaba,b
cabcabc,c
cca,ac
acbaca,a
cabcabcb,c
abca,a
cbacacab,bc
acabb,ac
abacaba,ab
cababaca,c
cbacba,c
abab,ab
abcabcb,ab
cabcabcba,c
acbacbacab,ac
acba,a
acabacabacabac,ac
cabbacacabac,ac
abacabac,ab
bcabb,b
acabacab,ac
cbacac,bc
abbac,a
abcabcabacaba,ab
bba,ab
acabacbba,ac
cabcabcab,c
bacac,b
acbacacabac,a
bacbaccba,b
bacbacbac,b
cbacbb,c
bbaca,abc
bcabaca,bc
acabacacab,ac
abacabacabaca,ab
cbaccab,c
bcabacaba,bc
cbacabaca,bc
abcabacba,a
acbacab,a
acbb,a
cbacbba,bc
abacabacabacabacaba,ab
cabba,c
bcabbac,b
cbacabacaba,bc
cabcabbac,c
cabcabacb,ac
cabacabacba,c
accabacabacabaca,a
bacbacab,ab
bcabcabacabaca,b
acbacbacabac,ac
cabcabab,ac
acabacaba,ac
abacabacaba,ab
acbacacbac,a
abacacab,ab
abcabacbb,a
bacbaccb,b
bcabcb,b
acbaccab,a
bcabca,b
ababaca,ab
abacacb,ab
cabcabacabacab,ac
abbaca,a
cbacbaca,c
abbb,a
abbacabacab,a
cbacabacabaca,bc
cbacc,c
accaba,a
bacbacacabacabaca,ab
bcabacba,bc
accabacabac,a
bacabacabacaba,b
abcabca,a
bcabacabac,bc
cabcabcaba,c
abcabcabcaba,a
bacbacacabacab,ab
ccab,ac
cbacabacabacab,bc
abacbaba,ab
bacbacabacaba,ab
abcabab,a
bacabacaba,b
bacabacabac,b
cabcabcabacaba,c
cabacb,c
acabac,ac
